,store_name,street_address,postal_code,cluster,lat,long
0,Harry Rosen Inc.,218 Yonge Blvd,M5M 3H8,1,45.4752,-73.6961
1,Despina Kirk Assets,113 Brock Street North,L1M 4H3,1,45.5057,-73.555
2,Lady Ann Superstore African Boutique,1758 Eglinton Ave West,M6E 2H6,8,43.8769,-79.2686
3,Precious Cuts,2900 Jane St,M3N 2J7,12,43.7124,-79.3644
4,Extoggery Store,10 Brentcliffe Road,M4G 3Y2,15,43.7568,-79.521
5,Elegant Wedding Bridal Show,200 de la Commune St W,H2Y 4B2,17,43.6889,-79.4507
6,NBS Global Services Inc,8531 Chemin Delmeade #103,H4T 1M1,5,43.9566,-78.9779
7,Facial Expressions by Giselle,144 Main Street North. Unit: 15,L3P 5T3,2,43.7335,-79.4177
8,Top Fashion,1000 Gerrard St E,M4M 3G6,19,43.6561,-79.3406
9,Addition-Elle,2300 Yonge St,M4P 1E4,12,43.7135,-79.3887
10,Lululemon Athletica,2558 Yonge St,M4P 2J2,12,43.7135,-79.3887
11,Livestock,116 Spadina Ave,M5V 2K6,11,43.6404,-79.3995
12,Fashion Accessories,439 Parliament St,M5A 3A1,0,43.6555,-79.3626
13,Skirt,476 Bloor St W,M5S 1X8,16,43.6629,-79.3987
14,Brooks Brothers,200 Bay UR1,M5J 2J8,11,43.62300000000001,-79.3936
15,H&amp;M,1 Dundas St W,M5G 1Z3,0,43.6564,-79.38600000000002
16,LIT,171 East Liberty St,M6K 3P6,11,43.6383,-79.4301
17,La Boutiques,1257 St Clair Ave W,M6E 1B8,17,43.6889,-79.4507
18,Gucci,130 Bloor St W,M5S 1N5,16,43.6629,-79.3987
19,Maxwell's Men's Shop,900 Don Mills Rd,M3C 1V6,18,43.7334,-79.3329
20,Cabaret,672 Queen St W,M6J 1E5,11,43.648,-79.4177
21,First Canadian Place,130 King W,M5X 1K7,0,43.6492,-79.3823
22,Bench,220 Yonge St,M5B 2H1,0,43.6572,-79.3783
23,Bella Boutique,1197 St Clair Ave W,M6E 1B5,17,43.6889,-79.4507
24,Fashion Whore,1301 Bloor St W,M6H 1P1,17,43.6655,-79.4378
25,Sarah,700 Lawrence Ave W,M6A 3B4,2,43.7223,-79.4504
26,Parasuco,3401 Dufferin St,M6A 2T9,2,43.7223,-79.4504
27,Ralph Lauren,2 Queen St E,M5C 3G7,0,43.6513,-79.3756
28,Benetton,102 Bloor St W,M5S 1M8,16,43.6629,-79.3987
29,Finishing Touches,3281 Yonge St,M4N 2L8,12,43.7301,-79.3935
30,Prestige Retail Inc,1396 Gerrard St E,M4L 1Z4,19,43.6693,-79.3155
31,West 49 Inc,419 King St W,M5V 1K2,11,43.6404,-79.3995
32,Forever Umbrella,717 Queen St W,M6J 1E6,11,43.648,-79.4177
33,Chanel Boutique,131 Bloor W,M5G,0,43.6564,-79.38600000000002
34,Wolford Boutique,126 Cumberland St,M5R 1A6,16,43.6736,-79.4035
35,Massimo Dutti,200 Yonge Street,M5B 2H1,0,43.6572,-79.3783
36,At Eaze,385 Yonge St,M5B 1S1,0,43.6572,-79.3783
37,Paris Boutique,262 Parliament St,M5A 3A4,0,43.6555,-79.3626
38,Brian Bailey,878 Queen St W,M6J 1G3,11,43.648,-79.4177
39,Kind Exchange,439 Danforth Ave,M4K 1P1,19,43.6803,-79.3538
40,Top Gear,700 Lawrence Ave W,M6A 3B4,2,43.7223,-79.4504
41,Tilley Endurables Inc,77 Front St E,M5E 1B8,0,43.6456,-79.3754
42,Hermes,130 Bloor St W,M5S 1N6,16,43.6629,-79.3987
43,Hugo Boss Canada Inc,39 Hazelton Av,M5R 2E2,16,43.6736,-79.4035
44,Victoire,129 Ossington Ave,M6J 2Z6,11,43.648,-79.4177
45,Lipton,1678 Eglinton Ave W,M6E 2H5,17,43.6889,-79.4507
46,Billabong,3401 Dufferin St,M6A 2T9,2,43.7223,-79.4504
47,Old Navy Store,5464-260 Yonge Blvd,M5M 3J3,2,43.7335,-79.4177
48,Show Room,278B Queen Street West,M5V 2A1,11,43.6404,-79.3995
49,Due West Clothing Co,431 Queen St W,M5V 2A5,11,43.6404,-79.3995
50,Fashion United,675 King St W,M5V 1M9,11,43.6404,-79.3995
51,Hide,789 Dundas St W,M6J 1V2,11,43.648,-79.4177
52,Accessorize Me,1273 Queen St W,M6K 1L6,11,43.6383,-79.4301
53,Butterfly,2190 Yonge St,M4S 2B8,12,43.702,-79.3853
54,SEGAL,894 Eglinton Ave W,M6C 2B6,17,43.6915,-79.4307
55,Venture III Industries Inc,50 Wingold Av,M6B 1P5,2,43.7081,-79.4479
56,Hedex Fashion Group International,50 Wingold,M6B 1P5,2,43.7081,-79.4479
57,Necessities Fashion Accessories,25 King W,M5L 1E8,0,43.6492,-79.3823
58,Dapper Dan,Scarborough Town Centre,M5G,0,43.6564,-79.38600000000002
59,Decibel,200 Queen St W,M5V 1Z2,11,43.6404,-79.3995
60,Renata,113 Dupont,M5G,0,43.6564,-79.38600000000002
61,Elsa Fashion,222 Spadina Ave,M5T 3B3,0,43.6541,-79.3978
62,African Store,432 Dundas St E,M5A 2A8,0,43.6555,-79.3626
63,Fortuna Canada,179 Baldwin St,M5T 1L9,0,43.6541,-79.3978
64,The Embellished Room,620 Yonge Street,M4Y 1Z8,0,43.6656,-79.383
65,Urbn Canada Retail Inc,761 Queen St W,M6J 1G1,11,43.648,-79.4177
66,John Ferrigamo Custom Designs,93 Cumberland Street,M5R 3N7,16,43.6736,-79.4035
67,As You Like It,92,M5R 2H2,16,43.6736,-79.4035
68,Snug,348 Danforth Ave,M4K 1N8,19,43.6803,-79.3538
