North American Industry Classification System (NAICS),Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20
Retail trade  [44-45],"46,982A","46,811A","47,180A","46,800A","48,098A","47,815A","47,783A","47,796A","48,027A","48,065A","47,734A","47,706A","47,541A","47,639A","47,951A","47,897A","47,613A","47,753A","47,797A","47,917A","47,914A","47,328A","47,762A","47,865A","47,944A","48,095A","44,372B"
Motor vehicle and parts dealers  [441],"11,753A","11,797A","12,038A","11,679A","12,210A","12,043A","11,826A","11,945A","12,009A","12,069A","11,858A","11,970A","11,917A","12,082A","11,985A","12,035A","11,996A","11,672A","11,893A","11,939A","12,005A","11,688A","11,975A","11,939A","12,126A","12,233A","7,913A"
Automobile dealers  [4411],"10,203A","10,236A","10,493A","10,149A","10,597A","10,489A","10,234A","10,352A","10,452A","10,480A","10,287A","10,468A","10,275A","10,546A","10,345A","10,498A","10,456A","10,127A","10,364A","10,401A","10,439A","10,164A","10,424A","10,483A","10,602A","10,689A","6,609A"
New car dealers  [44111],"9,415A","9,408A","9,655A","9,335A","9,742A","9,641A","9,383A","9,520A","9,596A","9,591A","9,419A","9,595A","9,384A","9,672A","9,427A","9,600A","9,553A","9,241A","9,492A","9,558A","9,568A","9,316A","9,546A","9,608A","9,734A","9,791A","6,035A"
Used car dealers  [44112],788A,828A,838A,814A,855A,848A,851A,832A,856A,889A,868A,873A,891A,875A,918A,898B,903A,887A,872A,843A,870A,849A,878A,875A,868B,898B,575B
Other motor vehicle dealers  [4412],742A,754A,758A,749A,761B,736A,768A,761A,726A,752A,803A,763A,798A,716A,803B,714A,713A,717A,720A,737A,731A,726A,781A,721A,727A,731C,585C
"Automotive parts, accessories and tire stores  [4413]",808A,807A,787A,781A,852A,818A,824A,832A,831A,838A,768A,738A,844A,820A,837A,823A,827A,828A,809A,801A,835A,797A,771A,735A,797A,813A,719A
Furniture and home furnishings stores  [442],"1,491A","1,475A","1,541A","1,533A","1,521A","1,509A","1,503A","1,489A","1,501A","1,451A","1,479A","1,473A","1,496A","1,490A","1,569A","1,579A","1,583A","1,564A","1,549A","1,542A","1,496A","1,483A","1,483A","1,517A","1,513A","1,546B","1,165C"
Furniture stores  [4421],916A,914A,958A,962A,946A,943A,950A,936A,936A,895A,930A,924A,942B,931A,981B,993B,"1,009B",999B,991A,978A,961A,952A,961A,984A,983A,"1,004C",753C
Home furnishings stores  [4422],575A,561A,583A,571A,575A,566A,553A,554A,566A,556A,549A,549A,554A,559A,588A,586A,574A,565A,558A,564A,535A,530A,522A,533A,530A,543B,412C
Electronics and appliance stores  [443],"1,705B","1,443A","1,401A","1,459A","1,445A","1,455A","1,482B","1,473A","1,474A","1,538B","1,685A","1,499A","1,473C","1,423C","1,377A","1,383A","1,383A","1,386A","1,366A","1,392A","1,380A","1,369A","1,383A","1,400A","1,371A","1,377A","1,386B"
Building material and garden equipment and supplies dealers  [444],"2,802A","2,910A","2,899A","2,801A","2,995A","2,921A","2,873A","2,842A","2,790A","2,765A","2,749A","2,837A","2,862A","2,763A","2,904A","2,826A","2,846A","2,988A","2,896B","2,872B","2,862A","2,788A","2,836A","2,931A","2,892A","2,901B","2,895C"
Food and beverage stores  [445],"9,397A","9,362A","9,352A","9,535A","9,520A","9,556A","9,671A","9,643A","9,730A","9,594A","9,423A","9,513A","9,498A","9,534A","9,534A","9,557A","9,332A","9,359A","9,385A","9,324A","9,428A","9,388A","9,491A","9,565A","9,547A","9,503A","11,658A"
Grocery stores  [4451],"7,019A","7,001A","6,983A","7,153A","7,119A","7,173A","7,278A","7,215A","7,351A","7,173A","7,031A","7,114A","7,076A","7,137A","7,136A","7,112A","6,947A","6,945A","6,965A","6,932A","7,004A","6,985A","7,085A","7,141A","7,134A","7,095A","8,858A"
Supermarkets and other grocery (except convenience) stores  [44511],"6,462A","6,439A","6,418A","6,591A","6,537A","6,595A","6,668A","6,642A","6,781A","6,601A","6,461A","6,546A","6,510A","6,586A","6,586A","6,569A","6,408A","6,408A","6,443A","6,412A","6,487A","6,473A","6,575A","6,617A","6,611A","6,577A","8,337A"
Convenience stores  [44512],557A,562A,565A,561A,582A,578A,610A,574A,570A,572B,570A,569A,566B,551A,550A,542A,538A,537A,522A,520A,517A,512A,510A,524B,523B,518B,521B
Specialty food stores  [4452],573A,583A,585A,579A,589A,582A,578A,582A,581A,591A,587A,587A,581B,575A,569B,583A,578A,583A,587A,598A,580B,579A,576A,575B,571B,568B,632B
